Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"climate crisis,grassroots movement,climate","environmental,governance",0,0,0,"climate,climate crisis",0,grassroots movement,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,"criminal justice system,criminal,criminal justice",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"planet,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
"social cultural,safety",no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"safety,social cultural","systemic,sandra bland,systemic racism,black lives,racism,black","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"color,congress","governance,social cultural",0,0,0,0,0,congress,0,0,0,0,color,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
"military,safety,economic","military,taxes,vets","economic,military",0,correct label,0,0,0,0,0,0,correct label,0,0,0
"economic,environmental","who,climate,economy","covid,economic,environmental",who,correct label,0,correct label,0,0,0,0,0,0,0,0
"governance,safety","corporations,bill of rights,protect americans,surveillance","economic,governance,safety",0,corporations,0,0,0,correct label,0,0,0,correct label,0,0
"economic,social cultural",black,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
no topic,candidate,governance,0,0,0,0,0,candidate,0,0,0,0,0,0
no topic,senator,governance,0,0,0,0,0,senator,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs",student,"education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"who,child care,workers","covid,economic,social programs",who,workers,0,0,0,0,0,0,0,0,0,child care
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
health,"science,alzheimer","environmental,social programs",0,0,0,science,0,0,0,0,0,0,0,alzheimer
"economic,governance","potus,workers","economic,governance",0,correct label,0,0,0,correct label,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,economic","who,teachers","covid,education",who,0,correct label,0,0,0,0,0,0,0,0,0
immigration,america safe,safety,0,0,0,0,0,0,0,0,0,america safe,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","debt,campaign","governance,social programs",0,0,0,0,0,campaign,0,0,0,0,0,correct label
"education,economic","wealth,green,education,jobs,school","economic,education,environmental",0,correct label,correct label,green,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs,economic","wages,costs,child care,health care,economy,health","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
governance,campaign,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
environmental,"climate crisis,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
"education,social programs","who,public education,public schools,education","covid,education",who,0,correct label,0,0,0,0,0,0,0,0,0
"social cultural,safety","who,mass incarceration,police,racial profiling,candidate,racial,incarceration,plague,police violence","covid,governance,safety,social cultural","plague,who",0,0,0,0,candidate,0,0,0,correct label,correct label,0
"covid,governance,health,foreign policy","europe,china,plague","covid,foreign policy",correct label,0,0,0,correct label,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
"environmental,economic","campaign,economy","economic,governance",0,correct label,0,0,0,campaign,0,0,0,0,0,0
no topic,"who,afghanistan","covid,foreign policy",who,0,0,0,afghanistan,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health",covid-19,covid,correct label,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"who,debate stage,debate,new american","covid,governance,immigration",who,0,0,0,0,"debate stage,debate",0,new american,0,0,0,0
governance,"who,candidate","covid,governance",who,0,0,0,0,candidate,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
foreign policy,"corrupt,ukraine","foreign policy,governance",0,0,0,0,ukraine,corrupt,0,0,0,0,0,0
social cultural,"african american,black",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,economic","school,economy","economic,education",0,correct label,correct label,0,0,0,0,0,0,0,0,0
"economic,environmental","emissions,jobs,climate,climate change,carbon,economy,climate crisis,carbon emissions","economic,environmental",0,correct label,0,correct label,0,0,0,0,0,0,0,0
"covid,health,economic","economic,covid-19","covid,economic",correct label,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
safety,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
foreign policy,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,environmental,health,social cultural,social programs,economic","student,wealthy,campaign,debt,guaranteeing health,climate,climate change,health care,health,student debt,corruption,protecting","economic,education,environmental,governance,health,social programs",0,correct label,correct label,correct label,0,"campaign,corruption",correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,"mueller report,impeachment",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,"who,campaign","covid,governance",who,0,0,0,0,campaign,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,governance,social programs,safety",incarcerated,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
environmental,"planet,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,social cultural","who,right to vote","covid,governance",who,0,0,0,0,correct label,0,0,0,0,0,0
"covid,health,foreign policy","world health organization,health,coronavirus,china","covid,foreign policy,health",correct label,0,0,0,correct label,0,correct label,0,0,0,0,0
governance,"corrupt,congress",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
safety,prison,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,economic",economy,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,debate,governance,0,0,0,0,0,debate,0,0,0,0,0,0
safety,"gun,gun violence,police,police violence",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
"immigration,governance","fifth circuit,border,circuit court","governance,immigration",0,0,0,0,0,correct label,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,health,health,0,0,0,0,0,0,health,0,0,0,0,0
"safety,economic","justice reform,jobs,unemployment,criminal,criminal justice","economic,safety",0,correct label,0,0,0,0,0,0,0,correct label,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
"education,social programs,economic","debt,student,per student,school","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"who,campaign,economies","covid,economic,governance",who,economies,0,0,0,campaign,0,0,0,0,0,0
"health,social programs","medicare,medicare for all,doctor",social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,debate,governance,0,0,0,0,0,debate,0,0,0,0,0,0
governance,"fancy fundraisers,lobbyists,pacs,federal lobbyists,grassroots movement",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health",coronavirus,covid,correct label,0,0,0,0,0,0,0,0,0,0,0
"education,environmental,health,social cultural,social programs","student,debt,climate,discrimination,health care,climate crisis,health,social security","education,environmental,health,social cultural,social programs",0,0,correct label,correct label,0,0,correct label,0,0,0,correct label,correct label
"health,social programs","illnesses,healthcare","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,candidate,governance,0,0,0,0,0,candidate,0,0,0,0,0,0
no topic,school,education,0,0,school,0,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
safety,officers,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
no topic,candidate,governance,0,0,0,0,0,candidate,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"corporations,giant corporations,economy,workers",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
foreign policy,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
health,"who,isolate,treatment","covid,health","isolate,who",0,0,0,0,0,treatment,0,0,0,0,0
"economic,education,health,social programs","guarantee health,education,living wage,health care,decent housing,health","economic,education,health,social programs",0,correct label,correct label,0,0,0,correct label,0,0,0,0,correct label
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health",pandemic,covid,correct label,0,0,0,0,0,0,0,0,0,0,0
social cultural,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
"economic,immigration,military,safety,governance","who,borders,military,vets,impeachment,taxes,congress","covid,economic,governance,immigration,military",who,correct label,0,0,0,correct label,0,correct label,correct label,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","medicare,aca",social programs,0,0,0,0,0,0,0,0,0,0,0,correct label
governance,"judiciary,impeachment,candidate",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
social cultural,"comprehensive plan,latinos","governance,social cultural",0,0,0,0,0,comprehensive plan,0,0,0,0,latinos,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,environmental,foreign policy","who,sustainable,economically","covid,economic,environmental",who,correct label,0,correct label,0,0,0,0,0,0,0,0
social cultural,latinos,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health","who,ventilators",covid,correct label,0,0,0,0,0,0,0,0,0,0,0
economic,"jobs created,jobs,unemployment,million jobs",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,"who,candidate","covid,governance",who,0,0,0,0,candidate,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
safety,drugs,safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,safety,military","opioids,veterans,drugs,marijuana,opioid","military,safety",0,0,0,0,0,0,0,0,correct label,correct label,0,0
no topic,who,covid,who,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"covid,health,immigration","border,coronavirus","covid,immigration",correct label,0,0,0,0,0,0,correct label,0,0,0,0
environmental,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,safety","black,latino,racist,marijuana","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
"covid,health,economic","pandemic,underinsured,coronavirus,workers","covid,economic,social programs",correct label,correct label,0,0,0,0,0,0,0,0,0,underinsured
social cultural,"black lives matter,lives matter,black lives,black",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
governance,impeachment,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"health,military,safety,social programs","veterans,va,health care,pipeline,health,mental health","environmental,health,military,social programs",0,0,0,pipeline,0,0,correct label,0,correct label,0,0,correct label
immigration,"asylum,asylum seekers",immigration,0,0,0,0,0,0,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,campaign,governance,0,0,0,0,0,campaign,0,0,0,0,0,0
economic,"american workers,workers",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
foreign policy,"syria,iran",foreign policy,0,0,0,0,correct label,0,0,0,0,0,0,0
governance,debate,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
immigration,daca,immigration,0,0,0,0,0,0,0,correct label,0,0,0,0
immigration,"immigration,immigration plan,campaign","governance,immigration",0,0,0,0,0,campaign,0,"immigration plan,immigration",0,0,0,0
