Gold Label,words,m_label,covid,economic,education,environmental,foreign policy,governance,health,immigration,military,safety,social cultural,social programs
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,health,social programs","guarantee health care,health care,prescription,prescription drug,health,guarantee health,economy,wages","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,economic,economic,0,economic,0,0,0,0,0,0,0,0,0,0
"governance,health,economic","fossil fuel,fuel,campaign finance,prison,fossil","environmental,governance,safety",0,0,0,"fossil,fossil fuel,fuel",0,correct label,0,0,0,prison,0,0
social cultural,color,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"environmental,foreign policy","climate crisis,climate change,climate,foreign","environmental,foreign policy",0,0,0,correct label,correct label,0,0,0,0,0,0,0
environmental,"emissions,climate,climate crisis",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
immigration,"immigrants,immigration policy,immigration",immigration,0,0,0,0,0,0,0,correct label,0,0,0,0
economic,"economy,tax,tax plan",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"environmental,health,social programs,economic","health care,care costs,economic,health,health care costs","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
economic,"economy,businessman",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
safety,"criminal,criminal justice,criminal justice system,incarcerated",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,supreme court,governance,0,0,0,0,0,supreme court,0,0,0,0,0,0
"environmental,social cultural","racism,carbon","environmental,social cultural",0,0,0,correct label,0,0,0,0,0,0,correct label,0
"economic,education,social programs","tutor,graduation,school,student,economy","economic,education,social programs",0,correct label,correct label,0,0,0,0,0,0,0,0,correct label
"education,health,social programs","pre school,education,school,universal access,early education",education,0,0,correct label,0,0,0,0,0,0,0,0,0
"education,health,social programs","health crisis,health,school","education,health",0,0,correct label,0,0,0,correct label,0,0,0,0,0
"education,social programs,economic","education,education plan,school,teachers,universal access","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
environmental,"climate change,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
"education,social programs","loans,education system,education,teachers,student","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
"education,social programs","education,education plan","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
environmental,"climate,climate crisis",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,environmental,social cultural","climate change,climate,racial,economic","economic,environmental,social cultural",0,correct label,0,correct label,0,0,0,0,0,0,correct label,0
"education,social cultural,social programs","graduate,hbcus","education,social cultural,social programs",0,0,correct label,0,0,0,0,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,economic","black,african american,color,african",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
environmental,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,immigration,social programs,environmental","education,immigrants,climate,climate crisis","education,environmental,immigration",0,0,correct label,correct label,0,0,0,correct label,0,0,0,0
"social cultural,safety","criminal justice,bail,police,incarcerated,criminal justice system,officers,police officers,racism,cash bail,criminal,institutional racism,racial","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,"african american,african",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"economic,social cultural","racial,economic","economic,social cultural",0,correct label,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,middle class,economic,0,middle class,0,0,0,0,0,0,0,0,0,0
"economic,social cultural","black,systemic racism,systemic,racism,black america",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
safety,"criminal,criminal justice,criminal justice system",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs,social cultural","discriminatory policies,health","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,"workers,wages",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,foreign policy","cold war,new cold war",foreign policy,0,0,0,0,correct label,0,0,0,0,0,0,0
foreign policy,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,social programs","income gap,universal basic,universal basic income,basic income,productivity,middle class",economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"economic,foreign policy,military,social programs","income gap,universal basic,military adventurism,universal basic income,basic income,productivity,middle class,cold war,new cold war","economic,foreign policy",0,correct label,0,0,correct label,0,0,0,0,0,0,0
social programs,"universal basic income,universal basic,basic income",no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural,social programs","affordable health care,drug prices,premiums,health care,care costs,prescription,copays,prescription drug,health,affordable health,latino,health care costs,deductibles","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social programs,social cultural","affordable health care,health care,health,affordable health,latino","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social cultural,social programs","health care,health,latinos","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
"health,social cultural","health care,assault,health","health,safety,social programs",0,0,0,0,0,0,correct label,0,0,assault,0,health care
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","affordable health care,medicare,health care,medicare for all,health,affordable health","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"governance,social cultural,environmental",climate,environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,health,social programs,environmental",public schools,education,0,0,correct label,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,"black,systemic,racism,systemic racism",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,black,social cultural,0,0,0,0,0,0,0,0,0,0,black,0
economic,workers,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
"environmental,immigration,economic","fossil fuel,fuel,climate crisis,immigrants,climate,fossil","environmental,immigration",0,0,0,correct label,0,0,0,correct label,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
safety,"the nra,gun,nra,assault",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural,social programs","disabilities,health care,care costs,health,health care costs","health,social cultural,social programs",0,0,0,0,0,0,correct label,0,0,0,correct label,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","health coverage,medicare,health crisis,health care,public option,affordable care act,health,affordable care,obamacare,health reform","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,federal lobbyists,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"health,social cultural,economic","racist,economy,health","economic,health,social cultural",0,correct label,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"immigration,safety,social cultural,environmental","bail,climate,color,cash bail","environmental,safety,social cultural",0,0,0,correct label,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs","education,low income students,school","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
"environmental,economic","green new deal,workers,million jobs,new deal,green new,jobs","economic,environmental",0,correct label,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,education,safety","criminal justice,criminal,education,incarceration,jails,jobs,justice reform,prison","economic,education,safety",0,correct label,correct label,0,0,0,0,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,college,no topic,0,0,0,0,0,0,0,0,0,0,0,college
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,environmental,health,immigration,safety,social cultural,social programs","economy,health care,health","economic,health,social programs",0,correct label,0,0,0,0,correct label,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,jobs,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural","pro choice,reproductive rights","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social cultural","abortion access,reproductive rights,abortion","health,social cultural",0,0,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"safety,social cultural","black,drugs,color,people of color","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,safety","drugs,black,marijuana","safety,social cultural",0,0,0,0,0,0,0,0,0,correct label,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,black,social cultural,0,0,0,0,0,0,0,0,0,0,black,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,banks,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
governance,"kavanaugh,supreme court",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
"social cultural,governance",blasey ford,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
social cultural,black,social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"economic,social cultural","color,people of color",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,health,social cultural","reproductive justice,racial,economic","economic,health,social cultural",0,correct label,0,0,0,0,correct label,0,0,0,correct label,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,safety","physical wellbeing,suicides,overdoses",health,0,0,0,0,0,0,correct label,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
environmental,"climate change,climate",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
environmental,climate,environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
environmental,"climate,climate crisis",environmental,0,0,0,correct label,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"social cultural,governance","kavanaugh,wade,right to choose,supreme court,roe,supreme court justice,roe v wade","governance,social cultural",0,0,0,0,0,correct label,0,0,0,0,correct label,0
governance,"right to vote,voter suppression",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
governance,"gerrymandered,unconstitutional gerrymandering,fair districts,gerrymandered districts,ballot box,gerrymandering",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
economic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,social programs","expand medicaid,affordable health care,health care,medicaid expansion,health,affordable health","health,social programs",0,0,0,0,0,0,correct label,0,0,0,0,correct label
no topic,big pharma,health,0,0,0,0,0,0,big pharma,0,0,0,0,0
governance,right to vote,governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,workers,economic,0,workers,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,military","ptsd,every veteran,addiction","health,military,safety",0,0,0,0,0,0,correct label,0,correct label,addiction,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,military","troops,fed","economic,military",0,correct label,0,0,0,0,0,0,correct label,0,0,0
"health,safety","addiction,big pharma","health,safety",0,0,0,0,0,0,correct label,0,0,correct label,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
education,"teachers,school,school service personnel",education,0,0,correct label,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,safety,social cultural","health,wealth","economic,health",0,wealth,0,0,0,0,correct label,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,"african americans,african",social cultural,0,0,0,0,0,0,0,0,0,0,correct label,0
"environmental,immigration,safety,economic","living wage,nra,education,workers,green building,gun violence,shutdown,the nra,immigrated,federal workers,college,immigrants,jobs,gun,climate,paying jobs,paris agreement","economic,education,environmental,governance,immigration,safety",0,correct label,education,correct label,0,"shutdown,federal workers",0,correct label,0,correct label,0,college
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,education,education,0,0,education,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs","student loan,debt,student,loan debt,student loan debt","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
social cultural,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,education,health,military,social programs,foreign policy","debt,healthcare,student debt,student,senseless","education,foreign policy,health,social programs",0,0,correct label,0,correct label,0,correct label,0,0,0,0,correct label
"health,military","base,service members,troops",military,0,0,0,0,0,0,0,0,correct label,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,economic","insulin,dividends,stock,big pharma,shareholders","economic,health",0,correct label,0,0,0,0,correct label,0,0,0,0,0
safety,"gun,background check,gun violence",safety,0,0,0,0,0,0,0,0,0,correct label,0,0
"health,economic","food deserts,healthy eating",health,0,0,0,0,0,0,correct label,0,0,0,0,0
"health,military","ptsd,wounded veterans,social emotional learning","health,military",0,0,0,0,0,0,correct label,0,correct label,0,0,0
"education,social cultural,social programs","broken system,color","social cultural,social programs",0,0,0,0,0,0,0,0,0,0,correct label,correct label
"education,health,social programs","trauma based care,health,school","education,health",0,0,correct label,0,0,0,correct label,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"health,military",health,health,0,0,0,0,0,0,correct label,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
economic,economy,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
economic,american worker,economic,0,correct label,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
governance,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"economic,education,immigration,social cultural,social programs","wealth tax,public education,education system,education,color,school,immigrant students,supports teachers,teachers,discrimination,tax,english language learners,school climate,school infrastructure,climate,wealth,public schools","economic,education,environmental,social cultural,social programs",0,correct label,correct label,climate,0,0,0,0,0,0,correct label,correct label
"economic,social cultural","wages,systemic,discrimination,economy,mothers,color","economic,social cultural",0,correct label,0,0,0,0,0,0,0,0,correct label,0
governance,"impeachment,mueller report",governance,0,0,0,0,0,correct label,0,0,0,0,0,0
no topic,no words,no topic,0,0,0,0,0,0,0,0,0,0,0,0
"education,social programs","free college,affordable child,k 12 education,tuition,college tuition,education,school,student,college,universal child care,child care,free college tuition","education,social programs",0,0,correct label,0,0,0,0,0,0,0,0,correct label
