text,Gold Label,words,m_label
china wants sleepy joe sooo badly they want all of those billions of dollars that they have been paying to the u s back and much more joe is an easy mark their dream candidate,foreign policy,"china,billions","economic,foreign policy"
nevada here s everything you need to know to caucus today,no topic,no words,no topic
one of president trump s top advisors admitted that this administration really let the country down on testing he s right it s long past time for trump to step up and implement a national testing strategy so we can begin safely reopening the economy,"health,covid","economy,testing","covid,economic"
thousands of kids in la county are exposed to lead every year as president i will invest to ensure kids in california can grow up in healthy lead safe homes p4a us infrastructure,"health,safety",no words,no topic
congressman adam schiff should resign for the crime of after reading a transcript of my conversation with the president of ukraine it was perfect fraudulently fabricating a statement of the president of the united states and reading it to congress as though mine he is sick,governance,no words,no topic
it s caucus day in iowa and we need your help to bring us across the finish line if you have a few extra minutes head to to make calls into iowa i d greatly appreciate it let s finish strong,no topic,no words,no topic
minnesota early voting is now open don t wait until march 3rd to cast your ballot head to the polls and be one of the first in the nation to make your voice heard in the primary find everything you need to know here,no topic,no words,no topic
one day some day love will rule the world,no topic,no words,no topic
it s time we reward the people who actually make this country work not wall street ceos but the middle class ordinary women and men who are capable of doing extraordinary things when given half a chance that s who i ll fight for every single day in the white house,economic,"middle class,ceos,wall street ceos",economic
derek jeter classy and clutch a true champion mr november there s no mystery why you have been elected to the hall of fame the only mystery really is how someone could have left you off their ballot,no topic,no words,no topic
i m heartsick for the people of idlib the u s cannot solve every problem militarily but we should increase our humanitarian assistance allow more refugees to come to our country and lead international efforts to broker a ceasefire and end this war,"immigration,foreign policy","militarily,ceasefire,refugees,humanitarian","foreign policy,immigration"
the opening of a cold case against psycho joe scarborough was not a donald trump original thought this has been going on for years long before i joined the chorus in 2016 when joe his wacky future ex wife mika would endlessly interview me i would always be thinking about whether or not joe could have done such a horrible thing maybe or maybe not but i find joe to be a total nut job and i knew him well far better than most so many unanswered obvious questions but i won t bring them up now law enforcement eventually will,no topic,no words,no topic
when i launched my campaign nashville was one of the first cities i visited because the race i was beginning wouldn t be won in early primary states it will be won in states where we can bring the fight to trump i m honored to have so many joining me in that fight,no topic,no words,no topic
all it takes for evil to flourish is for good people to do nothing it s my pleasure as much as it is my obligation to stand up and do what s right,no topic,no words,no topic
she would be an outstanding candidate,no topic,no words,no topic
they ve called us longer than long shot but here we are let s grow and grow and peak at the right time,no topic,no words,no topic
we are not going to beat donald trump with a candidate like joe biden who tried to cut social security voted for the iraq war and voted for nafta the only way we are going to beat donald trump is with an unprecedented movement that speaks to the needs of working people and isn t beholden to billionaire and corporate ceo donors,"economic,foreign policy,social programs","nafta,iraq war,social security","foreign policy,social programs"
health care is personal to me i was sworn into the united states senate next to a hospital bed my wife and daughter had been killed in a car crash and lying in that bed were my two surviving little boys i couldn t imagine what it would have been like if we didn t have the health care we needed immediately forty years later one of those little boys my son beau was diagnosed with terminal cancer and given only months to live through the hardship i saw firsthand how important it is to have quality affordable coverage it means peace of mind that your medical bills won t drown you in debt and helps provide hope that things will get better this fight is personal to me like it is for so many americans and i promise you that if i m elected president i will protect your family s health care coverage as if it were my own,health,"health,care coverage,debt,diagnosed,quality affordable,health care","health,social programs"
in the midst of the twin crises that we face the coronavirus pandemic and the meltdown of our economy it s imperative that we re examine some of the foundations of american society understand why they are failing us and fight for a fairer and more just nation,"economic,health,covid","american society,coronavirus,pandemic,economy","covid,economic,social programs"
a free press is essential to a free society that s why attacking the press and attempting to intimidate independent media is a standard part of the authoritarian playbook around the world and it s why donald trump s efforts to demonize the media put us on such a dangerous path trump deflects legitimate questions with attacks he bullies members of the press instead of taking responsibility for his failures his efforts to undermine public confidence in the integrity of reporting violate our core values and threaten our very system of government this world press freedom day support for an independent press at home and around the world matters more than ever we must vote trump out this november and assure that attacks on our free press are never again acceptable especially not in the white house,governance,essential,covid
i give you my word as a biden when i m president i will lead with science listen to the experts and heed their advice and always tell you the truth,no topic,no words,no topic
when amazon makes billions in profits but pays 0 in federal income taxes it s corruption plain and simple our government is working great for a thinner slice at the top but not so much for everyone else ewar ren real_corporate_profit_tax,economic,"billions,federal income,taxes,income",economic
you can draw a direct line from donald trump s irrational and impulsive foreign policy to the deterioration of global cooperation the world needs american leadership,foreign policy,"foreign policy,foreign",foreign policy
to condone the president s behavior and unforgivably to not even adequately investigate it is to shift power further into the executive to break the provisions for oversight that the constitution created,governance,no words,no topic
to those who are saying i just want to support someone who can win i respectfully suggest that you look at this video i submit that i m the one who can if you agree with me please share this around,no topic,no words,no topic
trump and republican leadership think they can exploit this crisis to bankrupt and privatize the postal service that may be what their corporate donors want but it is not what the american people want and there is no way we are going to allow that to happen,"covid,governance",no words,no topic
wherever you are whoever you are you matter in this process if you re ready to defeat donald trump and rebuild america head to the polls and vote for me on super tuesday,no topic,no words,no topic
when women are able to access positions of power outcomes change that s why our movement wouldn t be possible were it not for the incredible women leading the charge,no topic,no words,no topic
as president i will align our government operations purchases and contracts with a justice centered approach to meet our climate targets it s absolutely in our power to end the buildout of new fossil fuel infrastructure and to reserve new federal infrastructure permits for projects that do not harm our only planet together we will achieve net zero global warming pollution by 2045,environmental,"fossil fuel,global warming,climate,fuel,planet,fossil,pollution",environmental
the message is loud and clear in iowa we need to leave a future we re proud of for our kids let s move forward together,no topic,no words,no topic
too often we talk about the middle class forget about the poor those who have the least who suffer the most i believe we can do both i will continue to use my voice to fight for the most vulnerable americans lj19,economic,middle class,economic
we need your help with only 17 days left we re less than half way to our goal you can get us back on track donate 5 now and share with 5 friends tulsi to feb11 goal standwithtulsi,no topic,no words,no topic
money exists to serve people people do not exist to serve money an economic system that has no real use for those who don t serve it namely children and the elderly when given undue influence over the workings of government is dangerous and tyrannical our country should not be run like a business so much as it should be run like a family children the elderly the environment the people the relationships their health and well being should be fostered first that s the internal and spiritual abundance out of which all material abundance then flows,"environmental,health,economic","health,business,economic,environment","economic,environmental,health"
the 1 5 million in the final days of october seemed like a stretch but we did it as a thank you we re giving away free stickers claim yours now at yang2020 com prize,no topic,no words,no topic
i m the proud husband of a teacher who inspires me every day i ve seen firsthand how hard teachers work with little support and few resources thank you to all the amazing teachers who ve inspired and educated the future of our country teacherappreciationweek,no topic,teachers,education
had the chance to sit down with alyssa milano on her podcast sorrynotsorry we had a great conversation can t wait for you all to hear it,no topic,no words,no topic
stripping citizens of their citizenship sets a dangerous precedent and opens the door to abuse as president i will stand up for all americans regardless of where they were born and i will fight to protect our immigrant communities,immigration,citizenship,immigration
we re in this fight together you have the chance to make an impact on our grassroots movement let s make it happen sign up now to make calls to voters in super tuesday states,no topic,no words,no topic
for too long justice has been absent in our nation s housing policies my plan confronts america s history of racist housing policies that continue to keep communities of color from accessing the wealth building opportunities that home ownership brings learn more,"economic,social cultural","wealth,racist,color","economic,social cultural"
whether it s passing 100 laws or standing up to partisan supreme court nominees i ve always known that you do a job no matter how hard it is our job now is to elect someone who will fix the mess donald trump created i m ready for that fight watch our new ad,governance,"court nominees,nominees",governance
my heart aches for kaia this is absolutely unacceptable no student should have to learn in an environment where there is a threat of incarceration we need to reduce police presence in schools and invest in the resources and support our students need,"safety,education","student,incarceration,police,environment","education,environmental,safety,social programs"
a young girl came up to me tonight and said i m a broke college student with a lot of student loan debt i checked and i have 6 in the bank so i just gave 3 to keep you in this fight we re staying in this fight for the people who are counting on us,education,"student,debt,college,college student","education,social programs"
there s no reason in 2019 that a woman should make less than a man for the same work i will fight for the rights of women and girls including equal pay and for them to make decisions about their own bodies i appreciate the trailblazers at nevada now allowing me to join them,"economic,health,social cultural",equal pay,"economic,social cultural"
agree that congress shouldn t be a lifetime appointment sign on to my petition for term limits,governance,no words,no topic
they say roger stone lied to congress cnn oh i see but so did comey and he also leaked classified information for which almost everyone other than crooked hillary clinton goes to jail for a long time and so did andy mccabe who also lied to the fbi fairness,governance,no words,no topic
i stand with the people of mcfarland california no town should have to live in a state of constant fear we need to close private detention centers like this geo facility and invest in rural farm worker communities,"economic,safety","detention centers,detention",immigration
catch up with what we did on the campaign trail over the last few weeks,no topic,no words,no topic
there s a real competition on the debate stage joe biden has 44 billionaire donors pete buttigieg only has 39 our campaign has zero we need to get money out of politics,no topic,no words,no topic
we need more than small random acts of kindness we need huge strategized acts of doing the right thing,no topic,no words,no topic
i m about to take the stage from missouri tune in to watch live multistreaming with,no topic,no words,no topic
14 days that s what we have to keep growing our movement heading into the iowa caucuses i know we can do this together join in now p4a us iowa 14,no topic,no words,no topic
faith hope and dignity sound good to me,no topic,no words,no topic
driving to dc from tilton nh for congressional briefing on iran,foreign policy,iran,foreign policy
i m for reparations i d immediately create a commission on race not to do more talking but to take action while i d make reparations a presidential priority that shouldn t stop us from attacking systemic inequality wherever it rears its ugly head,social cultural,systemic,social cultural
parents shouldn t have to choose between holding onto a job and taking care of their kids my administration will support working families so they can get ahead and stay ahead while raising the next generation p4a us fairness,economic,no words,no topic
there is never an excuse for racism bullying or ignorance i stand with the aapi community in condemning these vile attacks that s why i ve called for vigorously enforcing federal laws against hate crimes and working with schools to stop bullying,"education,safety,social cultural","hate crimes,racism","safety,social cultural"
why does santa have three gardens he likes to ho ho ho merry christmas eve from our cory2020 family to yours,no topic,no words,no topic
our campaign is powered by americans from every corner of the country tens of thousands of volunteers and nearly 1 million grassroots donors have joined our coalition and we re just getting started join us p4a us 13million,no topic,no words,no topic
it is amazing that i became president of the united states with such a totally corrupt and dishonest lamestream media going after me all day and all night either i m really good far better than the fake news wants to admit or they don t have nearly the power as once thought,no topic,no words,no topic
making a few calls today to say thank you because of your support we had our best fundraising quarter yet this campaign is built on grassroots support with an average donation of just 18 we couldn t do it without you,no topic,no words,no topic
we need new blood in congress,no topic,no words,no topic
a democratic debate with more self funding billionaires than candidates of color would be a disservice to our party donate now so we can start running tv ads and qualify for the next debate,no topic,color,social cultural
we are still too far from guaranteeing all americans equal rights under the law there are more than 2 million people behind bars in the u s far more than any other developed country that is disgraceful and as president i will work to fix it once and for all see our criminal justice reform proposal here,safety,"criminal,criminal justice,justice reform",safety
with the iowa caucus only 1 day away it s time to get pumped to caucus for amy join amy as she stops to speak on her tour of iowa in mason city,no topic,no words,no topic
interesting by congress not wanting the special 5 minute testing apparatus they are saying that they are not essential in any event we have great testing capacity and have performed 6 5 million tests which is more than every country in the world combined,"covid,health","essential,testing",covid
in less than 100 days we ve opened eight offices with more than 50 staff in colorado in less than 100 days colorado has shown we have the ground game to win the nomination and beat trump join colorado for mike bloomberg this weekend and help us win on super tuesday,no topic,no words,no topic
our moment is now this is our time to build a nation based on racial social economic and environmental justice if we stand together there is nothing we cannot accomplish join us live in richmond virginia,"economic,environmental,social cultural","economic,racial","economic,social cultural"
it means so much when supporters take my words to heart but jaedyn took them to her arm so inspired by this commitment,no topic,no words,no topic
great call with thousands of our hispanic community business and faith leaders today during this national trial we have been uplifted by the grit determination prayers and patriotism of hispanic americans together we built the greatest economy in history we will do it again better than ever before,no topic,"economy,business",economic
our beautiful usmca is on its way to the senate the best is yet to come,foreign policy,no words,no topic
our january fec fundraising report will set the tone for the rest of 2020 and we have until midnight to make it as strong as possible pitch in 3 or whatever you can to help grow our movement,no topic,no words,no topic
i know it s possible to work with republicans to deliver help to the american people because i ve done it,no topic,no words,no topic
kat and i have known john k delaney for years he is a true public servant who wants to see america prosper thank you john for your dedication and commitment to our country,no topic,no words,no topic
at my request the fbi and the department of justice are already well into an investigation as to the very sad and tragic death in minnesota of george floyd i have asked for this investigation to be expedited and greatly appreciate all of the work done by local law enforcement my heart goes out to george s family and friends justice will be served,"safety,social cultural",local law,foreign policy
couldn t have said it better myself i m honored to have former secretary of state john kerry join me for the nomalarkey barnstorm,no topic,no words,no topic
one of my priorities as president will be supporting and empowering local leaders like mayor hardie davis because i ve seen how effective local governments can be thank you mayor hardie for your support and for your leadership here in augusta it s great to be here to talk to voters about some of the issues that matter most to them and it s great to see some of the work that the mayor is leading to put this city on track for a bright future,no topic,no words,no topic
this campaign we re running is about people like colin goddard it s about ensuring that their voices and their stories are heard it s about doing right by them and ending the gun violence epidemic that is destroying so many lives,safety,"gun,gun violence",safety
we are learning much about the invisible enemy it is tough and smart but we are tougher and smarter,no topic,invisible enemy,covid
in my administration the lobbyists won t get past the lobby you know how i m so certain of this because i don t take a penny from anyone,governance,no words,no topic
about time i called for a criminal investigation of the wells fargo ceo in 2016 and successfully pushed for the bank s board members to be held accountable when ceos and top bankers break the law they should go to jail just like anyone else,economic,"ceos,break the law,criminal","economic,safety"
about to walk on stage at the lj19 celebration in iowa to share my vision for our country one where we find common ground and unite around a common purpose to achieve big things for all americans watch live,no topic,no words,no topic
katie porter is a consumer advocate a congresswoman and my former student we spent years studying how working families go broke after medical emergencies i m grateful down to my toes to have her endorsement katie i m glad we re in this fight together,"economic,health",student,"education,social programs"
my heart goes out to the millions of americans who filed unemployment claims in recent weeks and the millions more who worry what next week holds for them donald trump needs to take action to ensure americans receive the economic relief they need as soon as possible,economic,"economic,unemployment",economic
wow sleepy joe biden only raised 15 million in q3 my campaign raised that in 72 hours thank you,no topic,no words,no topic
i will be having a white house press conference today at 5 30 p m thank you,no topic,no words,no topic
congratulations to governor elect andy beshear on his hard earned victory he has served the people of kentucky well as attorney general the commonwealth is in good hands with him in the governor s office,no topic,no words,no topic
so much great energy the republican party has never been more united,no topic,no words,no topic
coronavirus response bernie addresses the nation about the government response to the coronavirus,"health,covid",coronavirus,covid
thank you nevada we re headed to south carolina but have one more request if you can chip in a few dollars to keep our momentum going we would greatly appreciate it every donation makes a big difference,no topic,no words,no topic
muslims are one of the most diverse communities in our country and have always been a vital part of the american story i will partner with them to tackle generations of racial injustice and discrimination to build a government that works for everyone,social cultural,"muslims,discrimination,racial",social cultural
two days to super tuesday this tuesday may be the most important day of the primary and we need everyone involved sign up to make phone calls knock on doors and remind your friends to vote at berniesanders com volunteer live now from san jose ca,no topic,no words,no topic
we beat trump by bringing together people of every political ideology and focusing on building an economy that works for us all,no topic,economy,economic
our momentum continues with an endorsement from the new hampshire the keene sentinel today from the paper forward is where our country needs to be heading and in these extremely divided times we feel amy klobuchar is best suited among the democratic field to get us there,no topic,no words,no topic
if there are any angels in heaven they are all male and female nurses,no topic,no words,no topic
i ve been proud to work with team muriel dc on issues affecting our nation s cities she has dedicated her career to giving people a fair shot at the american dream that s what our campaign is about and that s why i m so glad to have her on board,no topic,fair shot,economic
tonight i m delivering my message directly to american voters on how i plan to defeat donald trump and rebuild america i hope you ll tune in at 6 30 pm est,no topic,no words,no topic
this country can t be great if it s not good,no topic,no words,no topic
we need to do everything in our power to ensure every american can safely make their voice heard this november,no topic,no words,no topic
in the richest country in the history of the world it is an outrage that we do not guarantee paid leave for everyone we cannot let the greed of corporations risk the public health we must guarantee paid sick and family leave for all americans,"economic,social programs,health",health,health
why did the w h o ignore an email from taiwanese health officials in late december alerting them to the possibility that coronavirus could be transmitted between humans why did the w h o make several claims about the coronavirus that ere either inaccurate or misleading in january and february as the virus spread globally why did the w h o wait as long as it did to take decisive action lanhee chen hoover institution fellow fox news,"covid,foreign policy,health","coronavirus,health,virus","covid,health"
after women took back the virginia general assembly virginia finally passed the equal rights amendment becoming the final state needed for ratification congratulations to all of the incredible women who led this charge,social cultural,no words,no topic
eighteen republican attorneys general are trying to destroy obamacare and put millions of americans at risk of losing their healthcare coverage for pre existing conditions these republicans are blinded by their partisan distrust of anything tied to former president barack obama and they are putting the healthcare security of so many americans at risk including children with potentially fatal illnesses like we did in 2018 democrats must make healthcare the central focus of the 2020 campaign and we should put forth specific and common sense ways to build a universal healthcare system my bettercare proposal does just that universal healthcare with choice,"social programs,health","healthcare,obamacare,illnesses","health,social programs"
tamir rice would be 17 today the officer that killed him was never indicted samaria rice his mother put together this handbook to teach young black and brown kids how to stay safe we shouldn t need it we cannot rest until this system is changed,"safety,social cultural","black,tamir,tamir rice","safety,social cultural"
everywhere i go people tell me our campaign has the kindest hardest working organizers they left home family and jobs to help neighbors find common ground and lead their communities our team inspires me every day if you feel the same chip in here p4a us nh 1,no topic,jobs,economic
love you bruce i couldn t do this without you by my side,no topic,no words,no topic
thank you julián castro you ve been a powerful voice for bold progressive change and i m honored to have your support together we ll fight to make sure every single family in america has a path to opportunity,no topic,no words,no topic
i think bernie sanders and elizabeth warren are entirely correct to advocate for universal healthcare although i don t agree with their specific plans and the other candidates advocating for a public option are not being ambitious enough on healthcare we need universal healthcare our healthcare system is largely broken costs are very high quality is uneven and many don t have coverage or they have inadequate coverage the right goal is to have universal coverage by universal coverage i mean that every citizen is provided federal healthcare coverage for free most developed nations have a system that does this i have a plan to do that as does bernie sanders and elizabeth warren to my mind healthcare is a human right and we can only control costs improve quality if we get everyone covered others who are running are proposing a public option a public option is a government run insurance company it will have premiums co pays deductibles etc a public option is fine in the same way that any incremental improvement is fine but it doesn t solve the problem where i differ with bernie sanders and elizabeth warren is on the form of universal healthcare they are proposing a single payer system which very few countries have my universal healthcare plan is a mixed model like most developed countries have including germany and france everyone gets covered for free but they can opt out have other insurance options the reason i like a mixed model is because i believe it is better policy a mixed model is easier to finance since you don t have to change the whole system it gives people choices which they like and it has shown to produce higher quality healthcare bottom line i m closer to bernie sanders and elizabeth warren on healthcare than i am to the others,"social programs,health","healthcare,germany,costs,insurance company,healthcare plan,single payer,payer system,france,deductibles,premiums,universal coverage","economic,foreign policy,health,social programs"
justice for all together we are going to bring millions of people together to build a vibrant democracy that is based on racial social environmental and economic justice join me live in new hampshire,"economic,environmental,social cultural","economic,racial","economic,social cultural"
i love the great state of north carolina so much so that i insisted on having the republican national convention in charlotte at the end of august unfortunately democrat governor roy cooper is still in shutdown mood unable to guarantee that by august we will be allowed full attendance in the arena in other words we would be spending millions of dollars building the arena to a very high standard without even knowing if the democrat governor would allow the republican party to fully occupy the space plans are being made by many thousands of enthusiastic republicans and others to head to beautiful north carolina in august they must be immediately given an answer by the governor as to whether or not the space will be allowed to be fully occupied if not we will be reluctantly forced to find with all of the jobs and economic development it brings another republican national convention site this is not something i want to do thank you and i love the people of north carolina,"covid,governance,economic","shutdown,economic,jobs","covid,economic"
at the cnn town hall i was asked what changes in american society i m proudest of here s what i had to say,no topic,american society,social programs
we must end the expansion of presidential war powers that is undermining our constitutional checks and balances,governance,no words,no topic
the crises we face are real and i know people are afraid but 2020 is our chance to choose a president and i m ready to get to work for working americans if you want progressive ideas and progressive results pitch in 2 to my campaign now,no topic,no words,no topic
