text,label,economic,environment,foreign policy,governance,immigration,military,safety,social programs,social and cultural
attack sri lanka carried radical islamic militant group horrific attack christians innocent civilians religious freedom," social and cultural,foreign policy",0,0,1,0,0,0,0,0,1
born front runners fighters absence opportunity make journey marked grit passion story time president ll make left join teamjuli??n write story opportunity bit ly joinjc2519,no topic,0,0,0,0,0,0,0,0,0
gop tax scam big wet kiss giant banks multinational corporations republicans put social security medicare chopping block fight level playing field," social programs,economic",1,0,0,0,0,0,0,1,0
things pretty hectic campaign trail don worry starting today campaign giving weekly roundup big events week key upcoming dates don miss important check national press secretary michael hopkins message,no topic,0,0,0,0,0,0,0,0,0
tricks treats happy april fools day,no topic,0,0,0,0,0,0,0,0,0
children wake adults children put differences start acting crisis children hopes dreams back greta thunberg sake children grandchildren choice aggressively action combat climate change pass green deal,environment,0,1,0,0,0,0,0,0,0
read em weep mr trump numbers don lie,no topic,0,0,0,0,0,0,0,0,0
decent housing privilege,social programs,0,0,0,0,0,0,0,1,0
,no topic,0,0,0,0,0,0,0,0,0
memorial day sacred days calendar day reflect remember today honor men women made ultimate sacrifice defending country loved honor made ultimate sacrifice honor fought nation safe free forever debt memorial day events country today evidence unites divides fallen remember today town city background faith heroism bravery service honor today set finally today powerful reminder support veterans military families make sacrifice recognized receive benefits earned,military,0,0,0,0,0,1,0,0,0
greenville nc wed july 17th maga rally free tickets,no topic,0,0,0,0,0,0,0,0,0
solve urgent global challenges time american leadership america lead america doesn show,foreign policy,0,0,1,0,0,0,0,0,0
honored receive endorsement week seiu florida proud record champion miramar strive lives people community passing living wage workers fighting misguided laws backed nra community back," safety,economic",1,0,0,0,0,0,1,0,0
brb defeat climate change,environment,0,1,0,0,0,0,0,0,0
improve lives americans promises actionable plan big things including ll pay chatting leland vittert,no topic,0,0,0,0,0,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
lose change jobs turn 26 move afford premium situations millions americans year temporarily lose health care coverage corporate health system gap doubles chance bankrupt end disgrace medicare lose coverage bankrupt medical bills," social programs,economic",1,0,0,0,0,0,0,1,0
300 pages ve 5th grade book report president handpicked ag attorney general barr release full report,no topic,0,0,0,0,0,0,0,0,0
washington hasn climatechange big money special interests high powered lobbyists block real change real solutions stand future combat climate change tulsi2020 climatestrike tulsi2020 tulsiforpresident tulsigabbard,environment,0,1,0,0,0,0,0,0,0
federal marijuana policy long overstepped boundaries common sense fiscal prudence compassion mention hypocrisy presidents senators congress members openly admiring drug country privileged arrested ve introduced bills federal government marijuana business end hypocrisy embrace common sense bills include bipartisan compassionate access research expansion respect states carers act amend federal law states set medical marijuana policies recently marijuana justice act bill end federal prohibition marijuana expungement past marijuana convictions reinvest communities disproportionately affected drug war incentivize states legalize state level disproportionately arrest incarcerate poor people people color medical marijuana proven benefits children suffering chronic illnesses seizures veterans battling ptsd legalization federal level ensure patients receive treatment worrying federal government standing," governance, military, social and cultural,safety",0,0,0,1,0,1,1,0,1
leadership requires bravery don courage urgent threat face,no topic,0,0,0,0,0,0,0,0,0
today participated american workforce policy advisory board meeting companies pouring back country record level,economic,1,0,0,0,0,0,0,0,0
beto rourke unveiled sweeping 5 trillion plan monday combat calls greatest threat facing united states today climate change plan garnered praise number prominent environment organizations,environment,0,1,0,0,0,0,0,0,0
miramar ranks safest cities florida 12 412 municipalities city percent crime rate continue make tremendous progress keeping city safe won complacent work tirelessly increase number officers acquire technology work community remain safest communities florida 12 412 cities mayor wayne messam,safety,0,0,0,0,0,0,1,0,0
mueller report incredibly damning presents significant bases obstruction justice president trump respond congressional subpoenas facts fight nancy pelosi ll put money pelosi time,governance,0,0,0,1,0,0,0,0,0
carson city town hall,no topic,0,0,0,0,0,0,0,0,0
saturday april 13th national weekend action hundreds grassroots supporters stepping host win warren house parties homes participate find party attend sign host elizabethwarren parties,no topic,0,0,0,0,0,0,0,0,0
fix broken country brave ll president told audience town hall iowa tonight share vision future debate stage running time guarantee spot hear chip,no topic,0,0,0,0,0,0,0,0,0
presidential candidates seeking office country pledge support provide veterans capabilities healthcare sign pledge support veterans prove,military,0,0,0,0,0,1,0,0,0
sick disgraceful generic pharmaceutical executives making medicines affordable american people busy coordinating cover scheme hide truth price fixing conspiracy asked skyrocketing prices white house end outrageous greed,economic,1,0,0,0,0,0,0,0,0
town hall college charleston,no topic,0,0,0,0,0,0,0,0,0
learn candidacy person defied odds fighting mayor passes living wage banned box question suing state local voice gun control ll president," immigration, safety,economic",1,0,0,0,1,0,1,0,0
proof donald trump gop tax scam big fat lie wages workers barely budge corporate profits soar time give workers raise,economic,1,0,0,0,0,0,0,0,0
compromised lying record surprise doesn matter congress won act,no topic,0,0,0,0,0,0,0,0,0
proud,no topic,0,0,0,0,0,0,0,0,0
discussion earlier today sxsw texas tribune quick story time college started aware white male privilege,social and cultural,0,0,0,0,0,0,0,0,1
rt icymi great connect mayor randall woodfin city birmingham week work,no topic,0,0,0,0,0,0,0,0,0
congratulations denver teachers successful strike stand united face broken system power enact change teachers valued doctors work lays foundation children future," social programs,economic",1,0,0,0,0,0,0,1,0
1 3 rural americans living access broadband internet investing infrastructure roads bridges include internet access,economic,1,0,0,0,0,0,0,0,0
question asked iowa greennewdeal hard truth climate change imperiled planet bold action save including dramatic investment green energy create jobs future," economic,environment",1,1,0,0,0,0,0,0,0
ve lot great chapters nation history revolution decarbonized economy great story powered generation american clean energy technology president inspire nation clean energy future jobs united states intend president," environment,economic",1,1,0,0,0,0,0,0,0
supported statehood freshman congressman 1993 support today make full representation democracy happy emancipation day,governance,0,0,0,1,0,0,0,0,0
president donald trump schedule thursday january 10th travel mcallen tx roundtable immigration border security briefing border security travel washington,immigration,0,0,0,0,1,0,0,0,0
comey crooked cop,no topic,0,0,0,0,0,0,0,0,0
great work ivanka inspiring millions women world wgdp,no topic,0,0,0,0,0,0,0,0,0
success achieve life due large part teachers believed invested future time ensure teachers finally paid worth,economic,1,0,0,0,0,0,0,0,0
tyt interview night,no topic,0,0,0,0,0,0,0,0,0
thursday 09 12 cityofmiramar miramar hold public budget hearings determine city spending priorities fy 2019 2020 residents encouraged attend weigh city tax dollars,economic,1,0,0,0,0,0,0,0,0
highlights week iowa spending time kirsten anderson endorsement means world embodies bravery campaign,no topic,0,0,0,0,0,0,0,0,0
ve back fundamentals education health care economy american people struggling single day make ends meet quality life thriving conversations focus american people," economic,social programs",1,0,0,0,0,0,0,1,0
proud voted women entrepreneurship economic empowerment act december thrilled passed senate great bill big bipartisan support important promote economic opportunities women globally," social and cultural,economic",1,0,0,0,0,0,0,0,1
impressed david green president uaw local 1112 leadership kindness fought employees gm lordstown plant conducted attacked president united states guy fighting members local gm employees families community american workers,economic,1,0,0,0,0,0,0,0,0
wrote handbook politics love published april 23rd,no topic,0,0,0,0,0,0,0,0,0
pharmaceutical companies purdue pharma spurred profited opioid crisis held accountable greed resulted pain suffering millions americans families long,economic,1,0,0,0,0,0,0,0,0
volkswagen investing 800 million build electric cars congratulations chattanooga tennessee big win,economic,1,0,0,0,0,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
advanced nations grounded fleet boeing max 8 united states faa serves boeing interests serves country works situation situation support senate move ground fleet,governance,0,0,0,1,0,0,0,0,0
putting corporate profits health wellbeing people planet immoral bad economics steals future sucking short term profits present people political establishment created political establishment enabled time people step,economic,1,0,0,0,0,0,0,0,0
president donald trump schedule monday april 8th participate credentialing ceremony newly appointed ambassadors washington lunch vice president receive intelligence briefing meet secretary state,no topic,0,0,0,0,0,0,0,0,0
congratulations uswnt back back women world cup titles fail make country proud field onenationoneteam,no topic,0,0,0,0,0,0,0,0,0
florida state university black history fact black student government association president bro charles thompson 1974 charter member iota delta chapter alpha phi alpha fraternity inspire great things charles thompson inspired run student government vice president liza park president 1995 1996 minority ticket win president vice president fsu history african american korean american afraid attempt impossible blackhistorymonth ?????? i?? fsu,social and cultural,0,0,0,0,0,0,0,0,1
trump tweeted emailed text messaged supporters terrified day 1 fundraising sign numbers scared send trump message language understand make 10 donation campaign today,no topic,0,0,0,0,0,0,0,0,0
touched boise important round table conversations centered issues immigration issues related sexual gender violence lgbtq community forward continuing discussions idaho tonight," immigration, social and cultural,safety",0,0,0,0,1,0,1,0,1
souvenirs cheap put price tag world travel feeling set foot soil person blood line sat foot admit collection rocks prized possessions piece memory similar journal entry write country takes back location picked rock shoved backpack,no topic,0,0,0,0,0,0,0,0,0
administration prioritize defend civil rights turn blind eye violations,social and cultural,0,0,0,0,0,0,0,0,1
voorhees college campus 434 denmark sc,no topic,0,0,0,0,0,0,0,0,0
yanggang full force,no topic,0,0,0,0,0,0,0,0,0
big structural change washington agency charged protecting environment led coal lobbyist call andrew wheeler role corruption plain simple,environment,0,1,0,0,0,0,0,0,0
student debt doesn impact young people weighing college day people country forgo buying home starting family launching business heavy anchor college debt ve impacted student debt hear send message comment," economic,social programs",1,0,0,0,0,0,0,1,0
today day 22 government shutdown officially longest government shutdown american history administration continues lie stoke fears imaginary crisis southern border desperate attempt make case wasteful ineffective border wall real crisis hundreds thousands federal workers families unpaid make rent payments pay bills result shutdown december senate unanimously passed bill government funded avoid shutdown senate majority leader mitch mcconnell immediately bring bipartisan legislation passed house senate floor vote reopen government power end shutdown squarely hands mcconnell trump end shutdown," economic, immigration,governance",1,0,0,1,1,0,0,0,0
horrifying denying life saving health care incarcerated violation basic human rights," safety,social programs",0,0,0,0,0,0,1,1,0
roger hufstetler congress virginia 5th congressional district,no topic,0,0,0,0,0,0,0,0,0
industrialized nation guarantee paid family leave handful states including jersey paid family leave laws grateful governor phil murphy continuing state leadership issue,social programs,0,0,0,0,0,0,0,1,0
,no topic,0,0,0,0,0,0,0,0,0
steph commitment dedication athletic opportunity leadership expand opportunities generation bison,no topic,0,0,0,0,0,0,0,0,0
enjoy posting pics travels blessed spend career military opportunity world enjoyed travel civilian side amazes people travel countries expensive plenty tips deals search give ability places read,no topic,0,0,0,0,0,0,0,0,0
hoppy stand state rough shape innovative thinkers address real issues citizens face,no topic,0,0,0,0,0,0,0,0,0
congratulations president lopez obrador mexico voted ratify usmca today huge margin time congress,foreign policy,0,0,1,0,0,0,0,0,0
fight day uphold american values democrats fail america succeed,no topic,0,0,0,0,0,0,0,0,0
honored support good friend killer mike tireless advocate social economic racial justice country,no topic,0,0,0,0,0,0,0,0,0
family bill rights make easier start family income race gender ensure child reach full potential important piece enacting national paid family leave program,social programs,0,0,0,0,0,0,0,1,0
shirley chisholm unbought unbossed fought increase minimum wage establish programs women infants children worked expand access health care brilliance boldness opened doors inspired womenshistorymonth," social and cultural, social programs,economic",1,0,0,0,0,0,0,1,1
spotted piano goffstown meet greet give,no topic,0,0,0,0,0,0,0,0,0
southern border,no topic,0,0,0,0,0,0,0,0,0
grateful ilhan omar courage leadership stand targeted president anti muslim rhetoric,social and cultural,0,0,0,0,0,0,0,0,1
spent yesterday afternoon plymouth nh discussing build clean energy revolution bold plan united states 100 clean energy economy net emissions 2050 read joebiden climate,environment,0,1,0,0,0,0,0,0,0
icymi washington post report makes clear delaney won argument health care,social programs,0,0,0,0,0,0,0,1,0
support dnc summer event san francisco excited ll accomplish save planet,environment,0,1,0,0,0,0,0,0,0
nations world discovering climate change single greatest existential threat human existence maintain global leadership leader climate,environment,0,1,0,0,0,0,0,0,0
economy history tremendous things american families businesses,economic,1,0,0,0,0,0,0,0,0
fight 15 isn higher wages giving workers dignity deserve,economic,1,0,0,0,0,0,0,0,0
event tuned home heard hope ll donating campaign today,no topic,0,0,0,0,0,0,0,0,0
true grassroots campaign single day,no topic,0,0,0,0,0,0,0,0,0
live citizen campaign call join,no topic,0,0,0,0,0,0,0,0,0
received update air force mcas cherry point north carolina damage caused hurricane dorian,environment,0,1,0,0,0,0,0,0,0
key question trump administration policy national interest mr trump corporate donors,governance,0,0,0,1,0,0,0,0,0
people care policies care consciousness,no topic,0,0,0,0,0,0,0,0,0
today honor birth president united states,no topic,0,0,0,0,0,0,0,0,0
emergency national security emergency presidential insecurity reopen parks put people back work end nonsense,economic,1,0,0,0,0,0,0,0,0
julian assange extradited united states charge allegedly assisted hacking government systems journalists free publish information receive free participate obtaining information illegally central question assange case government alleged assange assisted hacking critical confidential government information endangered national security interests citizens identity intelligence assets," safety,foreign policy",0,0,1,0,0,0,1,0,0
face big challenges nation make health care affordable fix nation crumbling infrastructure confront threat climate change grateful opportunity meet folks carroll iowa today talk," economic, environment,social programs",1,1,0,0,0,0,0,1,0
earlier week wanted make called teachers donated campaign teacherappreciationweek,no topic,0,0,0,0,0,0,0,0,0
glad join helping hands 365 volunteers ages cambridge mlk day service neighbors make stronger,no topic,0,0,0,0,0,0,0,0,0
today bruce birthday yesterday celebrated cake lucky side weekend iowa life big adventures happy birthday bruce,no topic,0,0,0,0,0,0,0,0,0
proud california fight back unconstitutional attack women reproductive rights,social and cultural,0,0,0,0,0,0,0,0,1
overwhelmingly incarcerate vulnerable country mentally ill addicted poor manafort slap wrist sentence week work make criminal justice system fair americans," social and cultural,safety",0,0,0,0,0,0,1,0,1
night demdebate showed american people candidate donald trump improve lives families united states joined morning joe morning talk,no topic,0,0,0,0,0,0,0,0,0
immoral illegal,no topic,0,0,0,0,0,0,0,0,0
regulating payday loan industry making easier lenders prey people turn postal banking act end payday lending overnight providing public option,economic,1,0,0,0,0,0,0,0,0
ve 70 town halls selfie line fun listen people stories glad 20 000th selfie today umeirra cincinnati,no topic,0,0,0,0,0,0,0,0,0
interviewing president stand criminal justice reform late tune hickenlooper2020 demdebate,safety,0,0,0,0,0,0,1,0,0
grew 80s heyday shopping malls 30 close 4 years disastrous effect local property values malls transition,economic,1,0,0,0,0,0,0,0,0
forming union crime constitutional companies boeing disgracefully threaten intimidate workers vote form union waging war working people make war lose rebuild strength expand trade union movement america,economic,1,0,0,0,0,0,0,0,0
ordinary americans washington politicians hand border wall brought safety security back community,immigration,0,0,0,0,1,0,0,0,0
american intervention american military power produced unintended consequences caused incalculable harm,military,0,0,0,0,0,1,0,0,0
queens today opportunity make history electing tiffany cab??n district attorney tiffany bring transformational change broken racist criminal justice system vote today," social and cultural,safety",0,0,0,0,0,0,1,0,1
registered republican vote bernie trump,no topic,0,0,0,0,0,0,0,0,0
don don fight sets rules republicans democrats,no topic,0,0,0,0,0,0,0,0,0
back hampshire morning town hall derry questions foreign affairs health care immigration return power people pacs ensure civility decency politics team grind rail trail cafe hosting," governance, immigration, social programs,foreign policy",0,0,1,1,1,0,0,1,0
reports sexual assault sexual harassment step listen allegations investigated fairly properly betsy devos proposed rules title ix weaken protections survivors discourage reports abuse schools betsy devos betraying survivors sexual assault harassment college campuses neglecting interests parents students trust schools interests heart devos power schools avoid accountability resist responsibility shameful action submitting comment jan 28 deadline betsy devos withdraw rules survivors speak," governance, social and cultural,safety",0,0,0,1,0,0,1,0,1
great interview jared nice extraordinarily smart people serving country,no topic,0,0,0,0,0,0,0,0,0
history country amazed ve,no topic,0,0,0,0,0,0,0,0,0
trisha pesiri dybvik 800 000 federal workers paychecks withheld shutdown happened family recovering losing home thomas fire honored join state union," environment,economic",1,1,0,0,0,0,0,0,0
forward tonight sotu,no topic,0,0,0,0,0,0,0,0,0
service members enlist aren taking huge burdens fighting country make military families supported receive benefits resources earned today day honor military spouses sacrifices make service country militaryspouseappreciationday,military,0,0,0,0,0,1,0,0,0
member congress make official meetings public release tax returns year wrote stock act fighting clear act rooting corruption government priority day," governance,economic",1,0,0,1,0,0,0,0,0
meeting supporters sc chicken waffles,no topic,0,0,0,0,0,0,0,0,0
agree rid electoral college replacing national popular vote protect democracy make vote counts,governance,0,0,0,1,0,0,0,0,0
allowed mechanistic primarily economic order displays respect fragile bonds human relationship voice dictates lives sociopathic system lacking conscience remorse orders society time change,economic,1,0,0,0,0,0,0,0,0
spent days north carolina wife amazing tax money construction underway roads wonderful shape road bond thing jim justice pushed ready hear election bs roads wonderful things give years remember lies mouth moving,economic,1,0,0,0,0,0,0,0,0
america highest rate pregnancy related deaths industrialized world quiet crisis black maternal mortality protect moms confront institutional racism health care system internationalwomensday," social and cultural,social programs",0,0,0,0,0,0,0,1,1
3 days ago announced campaign hit 100 000 individual donors thrilled crossed 110 000 individual donors ourmoment momentum donating today,no topic,0,0,0,0,0,0,0,0,0
working retail common job,no topic,0,0,0,0,0,0,0,0,0
mr trump trusted daca dreamers hostage government hostage dragging immigrant children mess democrats give racist wall hostages,immigration,0,0,0,0,1,0,0,0,0
photo set 1 successful mayor messam 5k health fitness fair photo credit gregory reed,no topic,0,0,0,0,0,0,0,0,0
honor lifetime serve man great president historic figure important close friend selected ll judgment record character ability handle job,no topic,0,0,0,0,0,0,0,0,0
tickled pink talk cindy signed volunteer part beginning,no topic,0,0,0,0,0,0,0,0,0
immigration town hall del campo la ciudad rock arkansas,immigration,0,0,0,0,1,0,0,0,0
country wealthy care families participate democracy,no topic,0,0,0,0,0,0,0,0,0
president donald trump schedule saturday march 2nd deliver remarks conservative political action conference,no topic,0,0,0,0,0,0,0,0,0
determining children fair shot life isn women issue core economic policy agenda," social and cultural,economic",1,0,0,0,0,0,0,0,1
fun campaign moment time poll real scientific poll make voice heard show voice real change debate stage head daily kos user poll vote campaign changecantwait,no topic,0,0,0,0,0,0,0,0,0
join volunteer park tonight rally donald trump vanity wall national emergency country political emergency president,immigration,0,0,0,0,1,0,0,0,0
,no topic,0,0,0,0,0,0,0,0,0
morning cnn talked plan level playing field families students crushed student loan debt transformational country,social programs,0,0,0,0,0,0,0,1,0
don beneath massive casinos las vegas hundreds homeless residents find shelter network storm drain tunnels yesterday toured tunnels local organizations working find permanent housing support end homelessness country campaign housing won back burner issue peoplefirst,economic,1,0,0,0,0,0,0,0,0
hope ll join town hall washington dc monday 20 unity washington dc ll address questions concerns free moderated rev sylvia sumter starts 7pm 1225 street nw washington dc 20009 www marianne events,no topic,0,0,0,0,0,0,0,0,0
